hotel_name,nationality,rating,review_title,review_neg,review_pos
Apartment Chez Esmara et Philippe,Sweden,10.0,good location brussel,good,location perfect
Hotel-Restaurant Zum Onkel Jonathan,Belgium,7.0,good,,
pentahotel Leuven,Belgium,9.0,superb,niet,De ligge ideaal perfect het centrum
B&B Villa Sans Soucis,Belgium,7.5,good,,
Hotel Banks,Netherlands,9.6,exceptional,,
ibis Gent Centrum St. Baafs Kathedraal,United Kingdom,7.5,good,,
Hotel Monasterium PoortAckere,Poland,8.0,excellent place stay,,
NH Brussels EU Berlaymont,Croatia,6.7,pleasant,,
Thon Hotel Brussels City Centre,Ireland,6.3,pleasant,Room quote get get take card explanation staff member say block take return day later tomorrow contact hotel directly poor,location cleanliness
Motel One Brussels,United States,9.0,great experience Brussels,,Staff nice property big clean especially lobby cool room good breakfast good enjoy stay Motel merci beaucoup
Hotel Gasthof 't Zweerd,United Kingdom,7.9,good,,excellent breakfast fantastic location
Smartflats Design - Opera,Netherlands,7.0,good,minimal kitchen equipment dish washer work extremely clean bathroom impressive hey fine short city trip,Location close opera central apartment spacious living room check go code send parking possible garage nearby euro day large tv
Red & Breakfast,United Kingdom,10.0,absolutely wonderful host,,wonderful breakfast bother host kind friendly helpful lot thoughtful extra little touch
Domaine de Ronchinne - Château et Ecuries,Belgium,8.0,beautiful castle great facility,room lot natural light feel like spend time,fantastic property facility staff super friendly
Apartment Chez Esmara et Philippe,United States,10.0,exceptional,,location perfect right heart city Squeaky clean pay parking garage use super close leave car duration stay need drive like security feel completely safe worried belonging run city stay place
Hotel-Restaurant Zum Onkel Jonathan,Belgium,9.0,superb,,
pentahotel Leuven,Belgium,8.0,nice little hotel center Leuven,mattress upgrade,great location friendly staff
Hotel Banks,Netherlands,7.5,good,,
ibis Gent Centrum St. Baafs Kathedraal,United Kingdom,7.9,great time stay,parking expensive,Location great bang centre town
Hotel Monasterium PoortAckere,Portugal,8.0,good,,
Thon Hotel Brussels City Centre,United States,10.0,exceptional,Non,love Juanita cleaning lady fix room engage smile trustworthy feel welcome
Motel One Brussels,Ireland,10.0,exceptional,perfect,central outside busy
Hotel Gasthof 't Zweerd,United Kingdom,8.8,Hotel Gasthof,family room loo washroom shower bit cramp room fan hot sticky night ask mistake like able book early hrs book hrs,room self clean tidy little noise hear kitchen extractor flume close window room window wide open night problem kitchen smell upper floor lovely quiet hear guest floor lift room dosnt view town square rear facing crack guesthouse hotel locate main square breakfast amazing excellent selection breakfast item continental breakfast ample fresh fruit meat cheese salmon jam spread different type fresh bread roll tea coffee orange juice water drown benefit cook boil egg opportunity fresh scramble egg bacon
Smartflats Design - Opera,Ireland,7.1,good,plumbing bathroom terrible smell,great location modern finish apartment
Red & Breakfast,Belgium,9.6,Excellent Bed Breakfast Liege,,nice bed Breakfast comfortable artistic room friendly owner excellent breakfast
Domaine de Ronchinne - Château et Ecuries,Belgium,8.0,excellent stay globally meet expectation,relatively small room paint dark khaki green make think wall come locate Ecuries suggest light colour rpainte wall remark tidy clean bathroom ok suppose matter taste course COVID period spend time like room evening,fluid check easy find nice clean place maintain professional service kitchen away day excellent Superb region
Apartment Chez Esmara et Philippe,Germany,9.0,superb,night noisy close double glaze window hear,big apartment center Brussels apartment clean equip bed sheet set towel kitchen towel hygiene product kitchen equipped function adult adolescent apartment big person large easy handle bed couch living room apartment safe day lock door night lock door Philippe Esmara friendly
Hotel-Restaurant Zum Onkel Jonathan,Belgium,8.0,good,,
pentahotel Leuven,Netherlands,7.0,good,room soundproof lot outside noise window room stay look directly office space great foil window privacy finally breakfast benefit hot iyem like boil egg,location great central girl desk helpful restaurant recommendation
Hotel Banks,Canada,7.9,good,,
ibis Gent Centrum St. Baafs Kathedraal,United Kingdom,9.6,enjoyable affordable breal grear location,,location well staff friendly helpful bed comfortable shower excellent
Hotel Monasterium PoortAckere,United Kingdom,9.0,superb,,
Thon Hotel Brussels City Centre,Russia,10.0,wonderful staff,,staff super nice get upgrade wonderful
Motel One Brussels,Brazil,7.5,big hotel,internet say MacBook room fone fridge,bar pretty good water breakfast
Hotel Gasthof 't Zweerd,United Kingdom,7.5,Menin Gate Ypres,room adequate clean compact carry bathroom need careful planning face wash tooth cleaning night stay bit waring,Location Breakfast spend little time hotel eat
Smartflats Design - Opera,Netherlands,2.0,good location bad host think twice book,disappoint Smart Flats allow prostitution apartment google search eva prostitution Liege picture Smart flat apartment roof terrace come elevator hallway different client wear mask bring high risk Smart Flats aware situation find necessary act matter future guest Smart Flats aware chance come prostitution client,Location city center
Red & Breakfast,South Africa,10.0,wonderful stay,,beautiful guesthouse Liège tastefully decorate thoughtful touch great host pleasant helpful good source information locate residential area short walk city centre easy highway location
Domaine de Ronchinne - Château et Ecuries,Belgium,9.0,beautiful pearl Ardennes ideal family,location room ideal staff room start day early bit noisy,come spend long weekend friend teenager kid facility fantastic time move domain rainy cold day enjoy heated pool sauna kid choose board game offer domain relate measure place feel secure stay
Apartment Chez Esmara et Philippe,Luxembourg,10.0,recommend,,good location comfortable clean nice helpful owner
Hotel-Restaurant Zum Onkel Jonathan,France,8.0,good,,
pentahotel Leuven,Netherlands,8.0,good,know eat breakfast room book room nice set eat comfortably,get upgrade junior suite nice surprise breakfast nice nice option like fish chicken non ham eater
Hotel Banks,Netherlands,7.5,good,,
ibis Gent Centrum St. Baafs Kathedraal,United Kingdom,7.9,great location nice bar area drink staff friendly room basic clean,room small sit bed chair provide double room fitting look cheap thin lino floor damaged skirting board look like flood bathroom stay room,location brilliant doorstep sight Ghent
Hotel Monasterium PoortAckere,France,9.0,superb,,
Thon Hotel Brussels City Centre,Malta,10.0,exceptional,,excellent breakfast large hotel homely feel helpful staff central location clean comfortable room
Motel One Brussels,United Kingdom,9.6,exceptional,tea coffee make facility room,friendly staff lovely clean great location
Hotel Gasthof 't Zweerd,United Kingdom,8.8,friendly hotel centre Ypres,parking ideal restriction free parking available street away outskirt,Staff friendly attentive evening meal good good steak age
Smartflats Design - Opera,Austria,10.0,exceptional,,Simple great service
Red & Breakfast,Belgium,9.2,good address stay Liège nice host,room street noisy night hear train car people ask room backyard quiet,nice people feel good nice furniture nice architecture nice room
Domaine de Ronchinne - Château et Ecuries,Belgium,9.0,superb,bathrobe available arrival sauna break away food disposable dish,amazing location lot activity corona time
Apartment Chez Esmara et Philippe,Argentina,10.0,thank Philippe,perfect,excellent apartment clean locate equip thank Philippe appreciate help kindness people like well world
Hotel-Restaurant Zum Onkel Jonathan,Netherlands,8.0,good,,
pentahotel Leuven,Germany,8.0,perfectly fine central Leuven,,friendly staff clean hour sleep bed
Hotel Banks,Switzerland,9.6,exceptional,,
ibis Gent Centrum St. Baafs Kathedraal,Belgium,7.1,good,room small,Location perfect
Hotel Monasterium PoortAckere,Germany,8.8,fabulous,,
Thon Hotel Brussels City Centre,Iceland,10.0,get upgrated suit nice,,staff helpfull
Motel One Brussels,Romania,10.0,perfect,pillow hard depend taste fully recommend hotel,clean room nice people interior view hotel nice decorate close city center Central train station
Hotel Gasthof 't Zweerd,United Kingdom,8.8,good hotel great location,Shame café restaurant hotel action parking close pay metered space,good bed week good breakfast perfect location
Smartflats Design - Opera,Germany,5.4,passable,bruyant,La situation excellente
Red & Breakfast,United Kingdom,10.0,exceptional,milk room early tea,host extremely helpful kind
Domaine de Ronchinne - Château et Ecuries,Netherlands,8.0,lovely hotel lot facility entertain,room stay newly renovate sadly completely lack character try room pick different style interior magazine try look cool trendy completely mess mix wish room atmosphere old building stay road exit ground badly damage,facility include bike game spa area mini golf breakfast alright special sure stay comfortable possible current restriction set shop meet need
Apartment Chez Esmara et Philippe,Germany,10.0,excellent,,perfect cute clean apartment nearby parking garage right center
Hotel-Restaurant Zum Onkel Jonathan,Belgium,7.0,good,,
pentahotel Leuven,Belgium,9.0,superb,pillow receive extra pillow way soft great hotel offer pillow variety airco lot noise make hard sleeep,room small nice beautiful decoration comfy bed location great staff helpful friendly
Hotel Banks,Australia,8.3,good,,
ibis Gent Centrum St. Baafs Kathedraal,Israel,9.6,exceptional,room bit small general ok Ibis chain good central location,good location reasonable price nice fully breakfast bed good clean soft linen welcome stuff hotel parking fully book reservation advance concierge recommend good public parking min distance foot
Hotel Monasterium PoortAckere,Netherlands,8.3,good,,
Thon Hotel Brussels City Centre,Czech Republic,6.3,pleasant,room cold try air conditioning higher success,area close city centre
Motel One Brussels,Netherlands,9.2,superb,water shower hot,Location breakfast style hotel
Hotel Gasthof 't Zweerd,United Kingdom,7.9,short stay,bed arrival long trip arrive late find bed milk provide staff apart gentleman breakfast little personal,Breakfast wide variety clean
Smartflats Design - Opera,United Kingdom,9.2,perfect long weekend overnight stay,,centrally locate large comfy apartment Good Shower Easy Checkin Car park nearby work break
Red & Breakfast,China,10.0,enjoy stay Red Breakfast highly recommend,,satisfactory accommodation trip room clean beautifully decorate location convenient hostess Nicola talente talkative helpful host Michel good taste recommend scenic spot breakfast extra charge plentiful tasty
Domaine de Ronchinne - Château et Ecuries,Belgium,8.0,beautiful Domaine wonderful atmosphere amazing heated pool,shag carpet little kitch tv reception flakey breakfast worth Euro coffee machine work multiple day refrigerator microwave room manage bring breakfast french press fine microwave convenience shop kettle room covid Sauna operational bar fabulous selection beer closed value money great nice place New Year Eve COVID time fact worth,beautiful Domaine wonderful atmosphere good opportunity hiking Great Place away far Brussels heated pool amazing child splash bathroom renovate staff friendly dinner good plate cutlery biodegradable let hear sustainability suggest time slot pool
Apartment Chez Esmara et Philippe,Vietnam,10.0,great location,limitation check time good choice arrive late,great location room spacious bed comfy kitchen sufficiently equip Philippe attentive
pentahotel Leuven,Belgium,8.0,good,pillow great pillow terrible traumatic maybe good check smell come pipe bathroom foul smell close bathroom door solve good look,room small modern convenient location fantastic staff friendly bed big comfortable overall hotel modern hip cozy ambiance rain shower nice
Hotel Banks,United Kingdom,9.6,exceptional,,
ibis Gent Centrum St. Baafs Kathedraal,United Kingdom,8.3,enjoyable stay great location fantastic view St Baafs Cathedral,property little TLC spot paint,fantastic location good bar helpful staff
Hotel Monasterium PoortAckere,Canada,9.2,superb,,
Thon Hotel Brussels City Centre,Israel,10.0,exceptional,room bit small clean comfortble,great hotel close Grande palace minut walk hoop hoop stop infront hotel min walk main train perfect location room clean nice comfortble staff nice polite wonderful stay thank hotel
Motel One Brussels,Barbados,10.0,property excellent location visit city Centre clean friendly staff,,atmosphere hotel lively accommodate great place relax day explore Brussels City Centre Excellent Bar Bar service staff enjoy stay
Hotel Gasthof 't Zweerd,United Kingdom,9.2,great location,little ventilation room unseasonably hot weather need fan Aircon stay night,lovely big room nice personal touch like sweet bed breakfast nice pley choice place right main square near centre plenty place eat parking difficult recommend
Smartflats Design - Opera,Oman,9.6,amazing,,intimate comfortable place stay sister love Jolly welcome friendly good time
Red & Breakfast,Italy,10.0,exceptional,parking free place easy find spot residential area,Staff extremely kind welcoming room clean bring extra pair towel ask literally highway exit easy find
Domaine de Ronchinne - Château et Ecuries,Belgium,9.0,superb,,nice castle stay
Apartment Chez Esmara et Philippe,Portugal,9.0,superb,,clean cosy apartment locate heart Brussels good hospitality aswell great experience
pentahotel Leuven,Netherlands,7.0,good,car parking,
Hotel Banks,Netherlands,7.1,good,,
ibis Gent Centrum St. Baafs Kathedraal,United Kingdom,8.8,comfortable convenient hotel centre gent,safe room room temperature bit warm heater turn turn overnight light sleeper go Christmas market ask room hotel clearly hear market tram early morning noise bother,friendly helpful staff excellent location right centre town great view window room clean comfortable exactly expect Ibis hotel
Hotel Monasterium PoortAckere,Netherlands,8.3,good,,
Thon Hotel Brussels City Centre,Ireland,10.0,exceptional,,central
Motel One Brussels,Ukraine,10.0,fantastic place Perfect Location,,fantastic place time rest work meeting perfect location St Michael St Gudula Cathedral thank great
Hotel Gasthof 't Zweerd,United Kingdom,6.7,pleasant,Ensuite facility cramp decoration tired,excellent location good public parking available close hand reasonable cost good breakfast
Smartflats Design - Opera,Netherlands,3.8,disappointing stay Liege,let apartment match image see picture nice apartment case furniture rooftop break break glass chip mug cupboard stain sofa wire break mirror bathroom stain dirty towel dirty toilet handsoap bathroom,Location great centre
Red & Breakfast,Belgium,9.2,superb,,clean comfortable friendly staff
Domaine de Ronchinne - Château et Ecuries,Latvia,8.0,Beautiful Château weekend getaway,smell like smoke neighbour smoke outside door,area gorgeous unique place
Apartment Chez Esmara et Philippe,Indonesia,9.2,superb,,Phillippe helpfull good apartment host far great location little bit noisy night pub
pentahotel Leuven,Netherlands,7.0,good,specially ask dog suprize pay euro extra information website aswere ask advance,
Hotel Banks,Luxembourg,9.6,good usual,,
ibis Gent Centrum St. Baafs Kathedraal,Netherlands,7.5,oke stay,bathroom dirty stain far corner,location middle Gent great
Hotel Monasterium PoortAckere,Netherlands,8.3,good,,
Thon Hotel Brussels City Centre,Luxembourg,5.8,repeat,superior room spacious use space awkward little space clothe int bathroom rack towel shelve properly hang dressing gown hook hang need lie floor use safe level plug location useless computer use cable trap walk choice color cold grey green bathroom material cheap like life street rejoice quality insulation building allow enjoy noise street work day siren police ambulance night,staff courteous efficient
Motel One Brussels,Germany,9.2,superb,breakfast room overwhelm busy time,good location pleasant lobby bar nice room
Hotel Gasthof 't Zweerd,France,7.9,good,good inexpensive hotel prime location,comfy bed small practicle room overlook main square meter Museams Menin Gate public parling outside square inexpensive
Smartflats Design - Opera,Netherlands,9.2,great place group entry pincode check suit,dishwasher en suite toilet,location ideal
Red & Breakfast,Malta,10.0,return sure deeply satisfied,,excellent welcome host walk distance centre clean excellent breakfast definitely book trip Liege
Domaine de Ronchinne - Château et Ecuries,Belgium,8.0,recommend,Bedding upgrade comfortable,beautiful place friendly people
Apartment Chez Esmara et Philippe,Netherlands,9.0,overall family happy stay apartment,Internet wifi speed good disconnect device,fast check response easy leave key check host helpful
pentahotel Leuven,Netherlands,8.0,okay,free Wifi disconnect need login everytime user friendly,Fast Check check
Hotel Banks,Belgium,7.5,good,,
ibis Gent Centrum St. Baafs Kathedraal,Ukraine,8.3,good,bathroom need renovation price bit high,Location perfect view window nice breakfast accord standard check quick friendly
Hotel Monasterium PoortAckere,Luxembourg,8.8,fabulous,,
Thon Hotel Brussels City Centre,Bulgaria,10.0,polite staff great location hotel facility,,stay hotel nice experience staff polite arrive hotel time check schedule pm receptionist Radovane polite room great facility super great location choose hotel visit Brussels future
Motel One Brussels,Romania,9.6,exceptional,,comfortable room clean quiet good breakfast option Excellent staff especially Mihaela reception good value money
Smartflats Design - Opera,United Kingdom,9.6,exceptional,nice iron iron board apartment,perfect location nice quiet window shut despite central location
Red & Breakfast,Poland,10.0,exceptional,,pleasant place comfortable personal standard hotel soon
Domaine de Ronchinne - Château et Ecuries,Belgium,8.0,perfect location basic room facilite,travel partner anniversary book superior room write hotel double check nice room room get look bit basic bathtub challenge young child furniture shabby extra bed need prefer room superior room view pay attention client request especially come special occasion general find review suggest food overprice room castle basic accurate location make thing important want relax long weekend family friendly place,surrounding gorgeous excellent place stay kid playground game activity helpful travel child Staff friendly nice view room baby cot available free effort food availble eat room covid measure small shop free coffee snack buy kettle room helpful
Apartment Chez Esmara et Philippe,Jersey,8.0,good,slightly tired decor need update,excellent location large apartment quiet comfy bed
pentahotel Leuven,Belgium,9.0,perfect,,Alles
Hotel Banks,Belgium,8.3,good,,
ibis Gent Centrum St. Baafs Kathedraal,Belgium,8.8,perfect explore Ghent,visitor enjoy Ghent nightlife come pm lot noise de stairway fault hotel course,hotel directly center Ghent mean nice walk de city centre nearby hand forget book place car park hotel search minute walk luggage pleasant Hotel staff polite breakfast good room bit noisy doable night
Hotel Monasterium PoortAckere,United Kingdom,9.2,superb,,
Thon Hotel Brussels City Centre,Germany,4.2,decieved disappoint,,
Motel One Brussels,Turkey,9.0,superb,,Staff kind helpful Motel close city center specially train station location great Loby like pub happy people enjoy stay weekend travel Brussels weekday book motel day mean happy stay book second time
Smartflats Design - Opera,Belgium,7.9,good,,
Red & Breakfast,Netherlands,10.0,excelent location short stay know Liege,,nice owner want help book nice restaurant wentelteefje sweet pastry surprise have breakfast tasteful nice atmosphere walk distance city center nice walk good wheather
Domaine de Ronchinne - Château et Ecuries,Belgium,7.0,good,poorly maintain property room bit effort price room acceptable,View Spa excellent friendly staff
Apartment Chez Esmara et Philippe,Russia,9.6,central location,,Location ideal center Brussels friendly host nice modern room
pentahotel Leuven,Italy,7.0,good,morning bathroom freeze cold immediate heating device leave early able shower,provide room shower disabled person good breakfast
Hotel Banks,United Kingdom,8.3,great location explore good part Antwerp,,
ibis Gent Centrum St. Baafs Kathedraal,Finland,8.8,good budget friendly hotel,fridge safe room hear noise room door street room,good breakfast central location modern clean room friendly staff
Hotel Monasterium PoortAckere,Portugal,8.8,nice stay recommend sure,,
Thon Hotel Brussels City Centre,Netherlands,6.3,pleasant,elevator terrible wait minute towel star construction work problem sound vibration morning,
Smartflats Design - Opera,Belgium,9.0,superb,,
Red & Breakfast,Austria,9.6,exceptional,well real bed instead couch,Whirlpool
Domaine de Ronchinne - Château et Ecuries,Belgium,8.0,good,offer breakfast poor possibility drink small snack day,Buffet restaurant tasty location stunning nice hiking
Apartment Chez Esmara et Philippe,Chile,9.0,superb,,amazing location
pentahotel Leuven,Belgium,8.0,good,door sound proof people talk corridor late night early morning feel like room,great room central location Beautiful Breakfast
Hotel Banks,United Kingdom,8.8,fabulous,,
ibis Gent Centrum St. Baafs Kathedraal,Belgium,7.5,good,nice people meet,nice room
Hotel Monasterium PoortAckere,Netherlands,9.2,superb,,
Thon Hotel Brussels City Centre,India,5.4,good rave price pay maybe opt ti,impersonal service AC proper appreciate guidance,
Smartflats Design - Opera,Switzerland,7.1,good,,
Red & Breakfast,Portugal,10.0,exceptional,,excellent modern room quiet surrounding overall comfortable rich breakfast plan stay night end stay Michel Nicole wonderful host great idea sightsee Liège great support great value money perfect
Domaine de Ronchinne - Château et Ecuries,Netherlands,7.0,overall great know look star room food quality star,walking route clear well describe food extremely disappointing honestly price stark rip wine great look feel castle nice hostel like vibe decoration flower service table bar room smell end have mosquito open window smell head bed wall shake neighbour open close door hear ask quiet room explain star rating probably ask big bed get single push include single bed Floor creaky loud consider invest bone castle offer good hotel room mention cafe opportunity drink food wellness area pool vend machine break eat coin look peaceful hotel good bed food spa relax walk meet hope feel like elegant hostel truly honest fine expectation alas boutique hotel expect need update renovation opinion,gorgeous castle scenery wine great available info game excursion spa massage take party take set appointment lovely relaxing original wellness pool area great individual sauna cute overall Covid measure appropriate staff lovely depend
Apartment Chez Esmara et Philippe,Georgia,10.0,perfect,,Location super
pentahotel Leuven,Italy,8.0,good,euro extra request breakfast euro bottle water,Gym
Hotel Banks,Belgium,8.8,fabulous,,
ibis Gent Centrum St. Baafs Kathedraal,Spain,8.3,perfect tourist,spite have problem climatisation facility room staff circumstance receive good treat solve problem stay confortable,location perfect ideal place visit city bed confortable room big
Hotel Monasterium PoortAckere,United Kingdom,9.2,superb,,
Smartflats Design - Opera,Moldova,10.0,exceptional,,
Red & Breakfast,United Kingdom,9.6,exceptional,kettle room,nice people comfortable clean good breakfast
Domaine de Ronchinne - Château et Ecuries,Belgium,8.0,lovely place spend,family lodge like dormitory charm contrast rest place bed little furniture ceiling beam m high like obstacle quality price expect,lovely place stay lot charm great balance activity staff kind competent
Apartment Chez Esmara et Philippe,Malta,9.0,brief clean comfortable value money near historical town centre,,central location close historic cultural centre market supermarket good WiFi clean spacious quiet apartment comfortable equip coffee machine
pentahotel Leuven,Belgium,8.0,good,drink minibar,nice location friendly staff
Hotel Banks,France,8.8,fabulous,,
ibis Gent Centrum St. Baafs Kathedraal,Italy,8.8,good location stay Gent,room small,excellent location heart Gent breakfast good
Hotel Monasterium PoortAckere,United Kingdom,8.8,fabulous,,
Red & Breakfast,Belgium,10.0,exceptional,,
Domaine de Ronchinne - Château et Ecuries,Belgium,9.0,superb,swimming pool spa area bit overcrowded hot weekend pleasant quiet fantastic cafeteria terrace food pretty grim overpriced,ground feeling quietness freedom walk relax garden chair scatter
Apartment Chez Esmara et Philippe,Spain,9.2,superb,,good host Good l location
pentahotel Leuven,Netherlands,9.0,fantastisch,garage narrow hotel guest pay euro day,Breakfast fantastic attention pay rule corona delicious varied staff extremely friendly day stay able leave car garage day check
Hotel Banks,Canada,8.3,good,,
ibis Gent Centrum St. Baafs Kathedraal,Turkey,9.2,superb,air condition,location
Red & Breakfast,United Kingdom,10.0,exceptional,,
Domaine de Ronchinne - Château et Ecuries,Belgium,7.0,quality pay,room chateau smelly small clean breakfast Covid bag pistolet side,fantastic location lovely chateau great pool area surround beautiful parc
Apartment Chez Esmara et Philippe,United States,8.8,fabulous,have small mall access apartment locate mall unusual manage enjoy apartment location,nice apartment right center city Super clean market right corner need enjoy apartment
pentahotel Leuven,Belgium,9.0,great location comfortable room,thing bother WiFi available freely day pay use internet consider inexpensive hotel expect WiFi available stay include price room,comfortable room bathroom great location amazing restaurant cafe m away
Hotel Banks,Netherlands,9.6,exceptional,,
ibis Gent Centrum St. Baafs Kathedraal,New Zealand,8.3,great,think,great
Red & Breakfast,Netherlands,9.6,exceptional,,
Domaine de Ronchinne - Château et Ecuries,Germany,7.0,good,price tad steep photo beautiful website get meh room room view tuck away respective building Dinner price room dinner expensive take hour meal like ready crowd folk show,view property amazing like sit look chateau stay gorgeous look plenty thing property time pool bike pool table walking path etc room ok breakfast morning
Apartment Chez Esmara et Philippe,Taiwan,10.0,exceptional,,good positio WIFI heater excellent
pentahotel Leuven,Belgium,9.0,superb,,great
Domaine de Ronchinne - Château et Ecuries,Belgium,7.9,good,unfortunately restaurant open Friday Saturday bar unoccupied get hungry hotel miss lively athmosphere,beautiful scenery castle room sunny hill lovely relaxing brand new spa great weekend
Apartment Chez Esmara et Philippe,United States,10.0,exceptional,negative experience,big spacious apartment exceptionally CLEAN great value Brussels give chance stay hesitate staff nice
pentahotel Leuven,Austria,9.0,superb,,enjoy know modern budget hotel skimp detail sake design actual door bathroom room modern actually design lot space outlet right place
Apartment & Garage de Reünie,United Kingdom,9.2,superb,have pay extra towel,Air con room convenient free parking local shop communication property owner size apartment
Apartment & Garage de Reünie,United Kingdom,8.8,fabulous,check check time,neat good facility
Motel One Brussels,Croatia,10.0,exceptional,,clean great location friendly staff nice room good breakfast silent room
Apartment & Garage de Reünie,United Kingdom,10.0,great visit belgium,,lovely maintenane clean apartment conveniently locate visit cemetery Ypres Brugge car
Motel One Brussels,United States,9.0,superb,,
Le Clos Des Bansions,Germany,9.6,exceptional,,great place lovely host breakfast morning amazing area property lovely host friendly helpful
Hotel Cecil,Belgium,9.0,fine fin de siècle hotel right centre town warm welcome feel,single room little bit cramp ok night long stay,centrally locate Markt square De Panne good quality restaurant nearby supermarket easily available short minute walk beach host kind welcome
B&B Waterside,United Kingdom,9.0,exceptionally lovely stay feel care breakfast delicious generous,,breakfast excellent host prepare different variation day
Apartment & Garage de Reünie,Ireland,9.6,exceptional,,clean comfortable apartment highly recommend
Thon Hotel Brussels City Centre,Portugal,7.1,basic hotel,expensive breakfast,
Hotel Gasthof 't Zweerd,United Kingdom,10.0,brilliant location fabulous short break hotel,improvement need,excellent location market square friendly hotel staff wonderful authentic belgian restaurant bar
Parkhotel,Belgium,9.0,year Gant visit wish come energy,receiption close wait little bit consierge entrance,Cabin wiew river
Motel One Brussels,Lebanon,10.0,comfortable enjoy stay,think issue,great location minute walk central train station outstanding matter staff spare effort guest stay pleasurable experience outstanding thumb hotel management good work go customer great value price pay
Le Clos Des Bansions,United Kingdom,10.0,perfect stay night,,outstanding decor comfort welcome help facility
Hotel Cecil,Belgium,9.0,central location shopping beach close m,quiet breakfast easy free parking area,central location De Panne
B&B Waterside,Netherlands,8.8,fabulous,street street lantern close window attract lot spider arachnophobe super thrilled,super friendly hostess delightful breakfast give map information place visit
Apartment & Garage de Reünie,United Kingdom,9.6,armistice weekend,bedroom shutter window leave expose want open width curtain net curtain solve issue major problem,clean comfortable excellent location
Thon Hotel Brussels City Centre,Sweden,9.2,superb,,good access Metro Brussel Nord station Rooom clean amenity prepare
Hotel Gasthof 't Zweerd,France,10.0,area stay shall recommend friend travel Ypres,well,rarely write review hotel seasoned traveller require think elaborate locate right Market Square parking outside hotel mark star value money accommodation swanky clean plenty hot water good size shower window open comfortable king size bed extra pillow tea coffee making facility clean breakfast incredible possibly good hotel breakfast year wish recall dinner restaurant excellent hotel guest give welcome drink choosing owner staff helpful friendly speak multiple language recommend highly
Parkhotel,Netherlands,7.0,good,room basically build row row layout bit strange sight carry luggage stair narrow corridor challenge double bed ask twin bed mattress separate blanket add breakfast ok special,room nice clean bit cold take find regulate temperature bathroom clean shower warm minute nice
Motel One Brussels,Ireland,8.8,Lovley,kettle coffee bottle water room little fridge maybe little wardrobe,bed extra comfy breakfast gluten free bread option bonus plus coffee good
Le Clos Des Bansions,Spain,10.0,exceptional,,
Hotel Cecil,Belgium,9.0,breakfast view,,family suite big thoughtfully design comfort style sober clean warm cozy feel roomy nice picture view market square beautiful good breakfast great croissant Owner staff kind helpful free parking short walk away outstanding value star place happy come
B&B Waterside,United Kingdom,7.5,good,location initially difficult find closed bridge,owner helpful breakfast great
Apartment & Garage de Reünie,United Kingdom,10.0,great apartment want,,comfortable spacious apartment local supermarket m plenty parking space near great location visit site
Thon Hotel Brussels City Centre,Zambia,7.5,lovely apart challenge mention,time offer complementary rate consider regular customer Thon room supply compressor suitable make coffee want tea consider provide kettle room,near alot shopping mall walk distance hotel addition breakfast excellent room spacious flexibility extend check hour highly appreciated trip
Hotel Gasthof 't Zweerd,United Kingdom,10.0,exceptional,nice round,
Parkhotel,Austria,9.0,superb,,hotel situate close city centre staff polite helpful room comfortable cozy
Motel One Brussels,Spain,8.0,good stay lovely staff,air cool room mattress way soft standard hotel little kind wardrobe,excellent staff good breakfast clean central
Le Clos Des Bansions,Belgium,10.0,sure come,,
Hotel Cecil,United Kingdom,8.0,good,,fantastic location especially like weekly market breakfast good nice selection cereal meat cheese tea coffee make facility room kettle coffee available foyer microwave vend machine nice room simply decorate friendly welcome staff
B&B Waterside,United Kingdom,9.2,delightful,,host super lovely sure know good place eat morning breakfast
Apartment & Garage de Reünie,Portugal,7.9,nice stay great host,,
Thon Hotel Brussels City Centre,United Kingdom,7.5,good,book pay arrival booking charge night deposit extra secure booking mention booking,clean easily navigate good atmosphere good staff bar nice hotel situate great area centre enjoyable hotel
Hotel Gasthof 't Zweerd,United Kingdom,3.8,position hotel good right square,bannister landing far low unsafe,Breakfast good build tired safe little one
Parkhotel,China,8.0,good,room bathroom bit small,receptionist nice helpful
Motel One Brussels,Netherlands,9.6,good value money centrally locate hotel minute walk centrally locate attraction,fridge room bar staff unable provide glass ice ice make facility available,breakfast preferred sleep late
Hotel Cecil,United Kingdom,8.8,fabulous,breakfast area little cramp especially coffee tuck corner love kettle room tea coffee,great location friendly staff nice clean good size room
B&B Waterside,United Kingdom,10.0,nice want leave,,awesome location good hostess awesome
Apartment & Garage de Reünie,United Kingdom,10.0,overall nice couple night appoint apartment,,apartment situate nice location close shop restaurant mile Ypres parking free outside door owner meet handover hand key double bed comfy sofa bed ok kitchenette equipped bathroom good shower place modern AC
ibis Gent Centrum St. Baafs Kathedraal,United Kingdom,4.0,disappointing,,parking include hote want day disgrace alternate parking half mile away hotel look tired
't Eenvoud,Belgium,10.0,exceptional,,Excellent Location quiet Street easy parking great host brand new high quality appartement necessary highly recommend place exceptionally clean
pentahotel Leuven,Panama,7.1,good,din t like stule hotel dark,Location perfect
Apartment Chez Esmara et Philippe,Germany,10.0,apartment locate convenient location plenty space relax,issue late night party noise outside okay,clean comfortable secure spacious apartment kitchen location perfect walk distance shopping dining bar metro train site
Thon Hotel Brussels City Centre,Austria,9.6,exceptional,,friendly staff good breakfast fast check good Location City Center public transport
