hotel_name,nationality,rating,review_title,review_neg,review_pos
Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,United Kingdom,10.0,amazing apartment sincerely recommend owner helpful,,
Minimalistic In Premium Location,Italy,9.6,comfortable,,nice modern flat comfort open space right privacy room ideal friend couple clean position convenient near wonderful Horta museum house connect city centre word comfortable
Marivaux Hotel,United Kingdom,10.0,exceptional,,boyfriend birthday give complimentary room upgrade
Hotel Astoria Gent,France,10.0,exceptional,,appreciate different dinner alternative get hotel suppose covid time set small food court
Guest house Heysel Laeken Atomium,Iran,3.0,stay away,frequent traveler far bad experience room cold late December booking include heater owner refuse turn tell change reservation cold try stop use bathroom checkout say clean apart disrespectful behavior owner share toilet dirty WiFi poor work second floor walk step step issue poor signal value money honestly believe awful property list,room clean bed comfortable
Hotel Saint Sauveur by WP Hotels,Netherlands,3.8,poor,clean mold rust generally need repair deep cleaning,
B&B Hof Beygaert,Netherlands,10.0,exceptional,,
Novotel Gent Centrum,United Kingdom,9.6,prefect spot stay,small complaint pillow bed flat high need middle ground,Location perfect want Ghent staff brilliant
B&B Place Jourdan,Portugal,10.0,good,strair,visit right purpose
Villa Pura Vida,Belgium,9.6,nice stay friendly staff,,
AppartHotel Belle Vue,Cuba,5.0,passable,air conditioner varely work Noisy Place sleep detail room lady reception outstanding make de difference,hotel staff
Le Studio de Christine,Portugal,10.0,home,,friendly host comfortable stay amazing location
Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Belgium,7.0,good,,
Minimalistic In Premium Location,Belgium,10.0,exceptional,,
Marivaux Hotel,United Kingdom,7.0,good,toilet door thin glass isolation boyfriend use toilet reason hope understand mean use toilet outside hotel,
Hotel Astoria Gent,Belgium,10.0,super nice stay gent,,super friendly hotel good breakfast nice clean room amazing bathroom definitely recommend
Guest house Heysel Laeken Atomium,Netherlands,4.2,disappointing,bath tab super dirty clean,like landscape night oversee atomium far away
Hotel Saint Sauveur by WP Hotels,Ireland,5.8,disappointing,hotel,Breakfast
B&B Hof Beygaert,Romania,10.0,exceptional,,
Novotel Gent Centrum,Germany,8.0,unbeatable location,bed little hard pull sofa bed comfortable amenity room adequate fine short stay,perfect location heart Ghent food option abundant immediately surround pricey breakfast option super fun lobby foosball table interactive video gaming system
B&B Place Jourdan,France,10.0,exceptional,,perfectly locate near european institution owner nice friendly helpful breakfast amazing well star hotel room equip new clean bathroom lot space big shower definitively good option Brussels
Villa Pura Vida,United Kingdom,10.0,exceptional,,
AppartHotel Belle Vue,Luxembourg,6.0,night stop,entrance parking extremely narrow problem avoid scratch car personally need guidance straight suitable big car,normal size room clean quiet property eager help receptionist explain calmly issue access room main entrance code memorize
Le Studio de Christine,Belgium,8.3,good,,
Minimalistic In Premium Location,Belgium,9.0,superb,,
Marivaux Hotel,United Kingdom,10.0,exceptional,n,fantastic stay hotel get lovely upgrade expect wish city hotel good
Hotel Astoria Gent,Germany,8.0,stay time Ghent,know dislike property relatively far away city center want walk minute,friendly staff good parking possibility clean room little bonus surprise mini bar free
Guest house Heysel Laeken Atomium,Germany,9.6,exceptional,unfortunately parking free pm parking want spend day city need find parking space expensive Brussels,friendly owner spacious beautifully decorate room bathroom clean free coffee tea good WiFi
Hotel Saint Sauveur by WP Hotels,Belgium,7.1,ok business stay,bathroom equipment poor quality reception personnel lack qualification,Breakfast comfort room quiet place
B&B Hof Beygaert,Belgium,10.0,exceptional,,
Novotel Gent Centrum,United Kingdom,8.3,good,breakfast expensive buffet breakfast New Year limited alternative,
B&B Place Jourdan,Portugal,8.8,fabulous,eindow curtin block light people sleep ligh dificult,Excelent place perfet size rrom ans bathroom localisation breakfast great
Villa Pura Vida,Belgium,9.6,exceptional,,
AppartHotel Belle Vue,France,6.0,fair good quick stay travel work,bathroom take minute hot water shower hot oh careful bed hurt bump leg bed structure stick mattress big bruise tibia today,good breakfast staff nice outside good looking dedicated parking lot secure dedicated code bit far away Mons hotel give easy access Mons city saturate term traffic good point
Le Studio de Christine,Netherlands,10.0,great host super helpful,,
Minimalistic In Premium Location,United Kingdom,9.2,superb,,
Marivaux Hotel,United Kingdom,9.0,lovely,,Staff welcome helpful facility location
Hotel Astoria Gent,Australia,10.0,exceptional,,staff exceptional make stay ea comfortable
Guest house Heysel Laeken Atomium,Denmark,5.4,passable,table sit pc cold,room nice view Atomium
Hotel Saint Sauveur by WP Hotels,Netherlands,9.2,superb,trouble sleep noise street,good location spacious room good bed good breakfast friendly personnel
B&B Hof Beygaert,Luxembourg,9.0,superb,,
Novotel Gent Centrum,Lithuania,7.5,good,price breakfast,location
B&B Place Jourdan,Czech Republic,10.0,exceptional,,perfect location center helpful owner comfort
Villa Pura Vida,France,10.0,good,,
AppartHotel Belle Vue,United Kingdom,9.6,exceptional,staff stay chat try pay breakfast leave,room set nicely comfy bed location easy area breakfast buffet plenty option
Le Studio de Christine,Netherlands,8.8,fabulous,,
Minimalistic In Premium Location,Norway,9.0,superb,,
Marivaux Hotel,United Kingdom,10.0,exceptional,,modern great staff Netflix suite
Hotel Astoria Gent,Netherlands,8.0,good,price enormous location near station interesting Dampoort near centre near Holland,friendly staff nice breakfast
Guest house Heysel Laeken Atomium,Russia,10.0,great,,great place stay room space shop dinner facility corner walk distance park Gare du Nord
Hotel Saint Sauveur by WP Hotels,Belgium,1.0,hotel,despite publication price range unworthy Hotel completely outdated need renovation arrival room clean fingerprint hair previous hotel guest abundant covid period bathroom completely worn mold spot shower sink stain wall ceiling tap wear rust completely calcify Windows clean week handle literally black dirt renovation work carry look like amateurish bricolage thorough renovation laminate simply lay old fit carpet hole wall extra cabling report counter friendliness staff quickly deteriorate cleaning lady send spot apparently lack special product Antical unfortunately possession spray Javel certainly report Manager good morning staff turn long option hotel apparently high reputation come friendliness staff despite multiple positive score breakfast disappointment classic standard breakfast offer corona proof want glass cava guest bottle pour covid waiter duty speak dutch language dining room turn clean dust food remain previous guest easily spot time year write review negative experience country star award smoother self respect hotel notice thing action warn book overprice room,
Novotel Gent Centrum,Italy,8.0,star hotel,think price high star hotel hotel provide star service room face construction site Town Hall result scarce natural light window noise worker start staff reception inform spa gym show picture aware like know,spend night Novotel business trip Ghent hotel choose recommend local partner convenient location city centre close university amenity include public transportation train station room enourmous clean confortable high quality sleep nice hotel staff
B&B Place Jourdan,Sweden,10.0,super,Många trappor,super
Villa Pura Vida,Netherlands,10.0,exceptional,,
AppartHotel Belle Vue,Spain,4.2,poor accommodation avoid possible acceptable restaurant,arrival room check air conditioning work wifi small exist refrigerator mention reception solution use personal network cable connect wall socket able internet unbearable heat air conditioning work room open balcony door night result entry mosquito fry bite night find acceptable having book suite arrival work main service air conditioning wifi thing check offer room web portal direction hotel night remain totally passive react day understanding late excuse solve,friendly staff resolutive facing incident exist restaurant varied menu elaborate dish existence park facility yes door fairly narrow corridor careful
Minimalistic In Premium Location,Romania,8.8,fabulous,,
Marivaux Hotel,Ireland,10.0,exceptional,,look year book hotel unfortunately minute free cancellation pass promise upgrade free disappoint good value money excellent location
Hotel Astoria Gent,France,10.0,exceptional,,excellent thank everybody definitivelly come
Guest house Heysel Laeken Atomium,United Kingdom,10.0,exceptional,,beautiful spatious room friendly owner
Hotel Saint Sauveur by WP Hotels,Belgium,6.0,friendly staff good location pricey,hotel recently renovate room thing shape bathroom door close handle fall mattress comfortable thin hotel locate pedestrian zone access directly car make difficult unload load car especially challenging small child,great location close beach shopping street plenty bar restaurant nearby friendly attentive staff breakfast good thing choose
Novotel Gent Centrum,United Kingdom,7.1,ideal drive park,Carpark tiny space small entrance tight large car hard work difficult find drive high street carpark ideal drive hotel need parking bar expensive,lovely hotel lovely people right middle thing
B&B Place Jourdan,Spain,10.0,great owner flat location,small thing floor lift common building,super helpful owner clean comfy bed great location
AppartHotel Belle Vue,Canada,9.6,exceptional,,Receptionist friendly helpful speak English room small modern cozy clean breakfast fad great variety item choose good coffee private parking appreciated stay gladly recommend hotel
Minimalistic In Premium Location,Belgium,9.0,superb,,
Marivaux Hotel,United Kingdom,8.0,good location quiet great short work stay,colour scheme dull brown dark brown grey colourful cushion bedspread cheer place,close metro centre city room large superb bathroom large bath separate shower big desk large comfortable bed
Hotel Astoria Gent,United States,10.0,exceptional,,friendly helpful staff super excellent breakfast lovely setting home jam granola yoghurt etc good coffee brew cup need want room easy walk train station love place
Guest house Heysel Laeken Atomium,Finland,4.6,disappointing,right away manager hear come pm say charge extra come later mention booking page kind arrangement change train ticket try want pay bus Holland hour late miss minute check time hear time hour early demand extra payment Wifi work upstairs work poorly floor give small change pay,Location good thing
Hotel Saint Sauveur by WP Hotels,Belgium,10.0,super,,Alles orde
